ts_utc,venue,kind,symbol,mark,index,last,bid,ask,funding,funding_unit,oi,src_ts
2026-09-13T08:31:32Z,bybit,perp,XAUTUSDT,4347.79,4350.01,4347.70,4347.70,4347.80,-0.00006917,per_8h,114602414.01,1789300800000
2026-09-13T08:31:33Z,bitget,perp,XAUTUSDT,,,4347.54,4347.54,4347.55,,,,1789288293158
2026-09-13T08:31:33Z,bingx,perp,XAUT-USDT,,,4347.66,,,,,,1789288290000
2026-09-13T08:31:33Z,lighter,perp,XAU,4354.01,4353.45,4353.97,,,,,4427.4708,
2026-09-13T08:31:33Z,lighter,perp,PAXG,4353.79,4356.15,4352.6,,,,,365.107,
2026-09-13T08:31:33Z,variational,perp,XAUT,4347.11966764819,,,4346.07,4348.53,-0.075661,annualized_decimal,20520234.121034445452562100000,2026-09-13T08:30:45.542279051Z
2026-09-13T08:31:33Z,variational,perp,XAU,4356.743272225527,,,4355.99,4357.34,0,annualized_decimal,24885466.762677949275902400000,2026-09-13T08:30:46.073904392Z
2026-09-13T08:32:32Z,binance,perp,XAUTUSDT,4347.58713167,4349.37118232,,4347.58,4347.59,0.00003012,per_8h,,1789288352001
2026-09-13T08:32:33Z,bybit,perp,XAUTUSDT,4347.78,4350.01,4347.70,4347.70,4347.80,-0.00006449,per_8h,114602150.42,1789300800000
2026-09-13T08:32:33Z,bitget,perp,XAUTUSDT,,,4347.54,4347.54,4347.55,,,,1789288353217
2026-09-13T08:32:33Z,bingx,perp,XAUT-USDT,,,4347.65,,,,,,1789288351000
2026-09-13T08:32:33Z,lighter,perp,XAU,4354.03,4353.47,4353.97,,,,,4427.4708,
2026-09-13T08:32:34Z,lighter,perp,PAXG,4353.74,4356.23,4352.6,,,,,365.107,
2026-09-13T08:32:34Z,lighter,funding,XAU,,,,,,3.2e-05,per_8h,,
2026-09-13T08:32:34Z,hyperliquid,perp,PAXG,4354.75,,,4354.7,4354.8,,,,1789288354246
2026-09-13T08:33:32Z,binance,perp,XAUTUSDT,4347.59453763,4349.37709626,,4347.58,4347.59,0.00003020,per_8h,,1789288412000
2026-09-13T08:33:33Z,bybit,perp,XAUTUSDT,4347.78,4350.01,4347.70,4347.70,4347.80,-0.00006022,per_8h,114602011.29,1789300800000
2026-09-13T08:33:33Z,bitget,perp,XAUTUSDT,,,4347.14,4347.25,4347.26,,,,1789288413288
2026-09-13T08:33:33Z,bingx,perp,XAUT-USDT,,,4347.65,,,,,,1789288413000
2026-09-13T08:33:33Z,lighter,perp,XAU,4353.81,4353.49,4353.97,,,,,4427.4708,
2026-09-13T08:33:34Z,lighter,perp,PAXG,4353.74,4356.15,4352.6,,,,,365.107,
2026-09-13T08:34:32Z,binance,perp,XAUTUSDT,4347.33000000,4349.34838865,,4347.32,4347.33,0.00003028,per_8h,,1789288472000
2026-09-13T08:34:33Z,bybit,perp,XAUTUSDT,4347.60,4349.73,4347.60,4347.50,4347.60,-0.00005632,per_8h,114596110.26,1789300800000
2026-09-13T08:34:33Z,bitget,perp,XAUTUSDT,,,4347.29,4346.9,4346.91,,,,1789288473324
2026-09-13T08:34:33Z,bingx,perp,XAUT-USDT,,,4347.65,,,,,,1789288470000
2026-09-13T08:34:33Z,lighter,perp,XAU,4353.79,4353.49,4353.97,,,,,4427.4708,
2026-09-13T08:34:34Z,lighter,perp,PAXG,4353.50,4356.07,4352.6,,,,,365.107,
2026-09-13T08:35:33Z,binance,perp,XAUTUSDT,4347.15000000,4349.24630003,,4347.09,4347.10,0.00003028,per_8h,,1789288532001
2026-09-13T08:35:33Z,bybit,perp,XAUTUSDT,4347.34,4349.59,4347.30,4347.20,4347.30,-0.00005262,per_8h,114584996.66,1789300800000
2026-09-13T08:35:33Z,bitget,perp,XAUTUSDT,,,4347.29,4346.9,4346.91,,,,1789288533392
2026-09-13T08:35:33Z,bingx,perp,XAUT-USDT,,,4347.66,,,,,,1789288532000
2026-09-13T08:35:34Z,lighter,perp,XAU,4353.78,4353.50,4353.97,,,,,4427.4708,
2026-09-13T08:35:34Z,lighter,perp,PAXG,4353.37,4355.87,4352.6,,,,,365.107,
2026-09-13T08:36:33Z,binance,perp,XAUTUSDT,4347.10000000,4349.18405573,,4347.09,4347.10,0.00003003,per_8h,,1789288592000
2026-09-13T08:36:33Z,bybit,perp,XAUTUSDT,4347.30,4349.58,4347.30,4347.20,4347.30,-0.00005021,per_8h,114583942.36,1789300800000
2026-09-13T08:36:33Z,bitget,perp,XAUTUSDT,,,4347.29,4346.7,4346.71,,,,1789288593383
2026-09-13T08:36:33Z,bingx,perp,XAUT-USDT,,,4347.66,,,,,,1789288591000
2026-09-13T08:36:33Z,lighter,perp,XAU,4353.72,4353.50,4353.39,,,,,4427.4928,
2026-09-13T08:36:34Z,lighter,perp,PAXG,4353.40,4355.79,4352.6,,,,,365.107,
