ts_utc,open,high,low,close,vol
2026-09-06T11:44:00Z,4434.8,4434.8,4434.67,4434.67,0.2703
2026-09-06T11:45:00Z,4434.67,4434.68,4434.67,4434.68,0.0019
2026-09-06T11:46:00Z,4434.68,4434.74,4434.68,4434.74,0.0152
2026-09-06T11:47:00Z,4434.74,4435.03,4434.74,4435.03,0.0013
2026-09-06T11:48:00Z,4435.03,4435.03,4435.03,4435.03,0
2026-09-06T11:49:00Z,4435.03,4435.03,4435.03,4435.03,0
2026-09-06T11:50:00Z,4435.03,4435.03,4435.03,4435.03,0
2026-09-06T11:51:00Z,4435.03,4435.03,4435.03,4435.03,0
2026-09-06T11:52:00Z,4434.99,4434.99,4434.93,4434.95,1.215
2026-09-06T11:53:00Z,4434.95,4435.07,4434.75,4434.75,2
2026-09-06T11:54:00Z,4434.75,4435.33,4434.75,4435.33,0.0019
2026-09-06T11:55:00Z,4435.33,4435.33,4434.97,4434.97,2.0166
2026-09-06T11:56:00Z,4434.97,4434.97,4434.97,4434.97,0
2026-09-06T11:57:00Z,4434.97,4434.97,4434.97,4434.97,0
2026-09-06T11:58:00Z,4434.97,4434.97,4434.97,4434.97,0
2026-09-06T11:59:00Z,4434.97,4434.97,4434.97,4434.97,0
2026-09-06T12:00:00Z,4434.97,4434.97,4434.97,4434.97,0
2026-09-06T12:01:00Z,4434.97,4434.97,4434.97,4434.97,0
2026-09-06T12:02:00Z,4434.97,4434.97,4434.97,4434.97,0
2026-09-06T12:03:00Z,4434.88,4435.33,4434.8,4435.33,1.036
2026-09-06T12:04:00Z,4435.33,4435.33,4434.91,4435.17,2.0677
2026-09-06T12:05:00Z,4435.17,4435.31,4434.47,4434.48,3.035
2026-09-06T12:06:00Z,4434.48,4435.1,4434.48,4434.85,2.9448
2026-09-06T12:07:00Z,4434.85,4435.16,4434.52,4434.95,1.916
2026-09-06T12:08:00Z,4434.95,4435.31,4434.6,4435,2.0327
2026-09-06T12:09:00Z,4435,4435.13,4434.47,4434.91,3.4182
2026-09-06T12:10:00Z,4434.91,4435.22,4434.52,4434.8,5.7732
2026-09-06T12:11:00Z,4434.8,4435.38,4434.75,4434.99,2.4031
2026-09-06T12:12:00Z,4434.99,4435.31,4434.5,4434.71,1.9346
2026-09-06T12:13:00Z,4434.71,4434.82,4434.45,4434.58,1.1475
2026-09-06T12:14:00Z,4434.58,4434.99,4434.43,4434.47,1.0817
2026-09-06T12:15:00Z,4434.47,4434.74,4434.41,4434.71,0.7893
2026-09-06T12:16:00Z,4434.71,4435.04,4434.25,4434.99,0.9709
2026-09-06T12:17:00Z,4434.99,4434.99,4433.87,4434.49,1.5773
2026-09-06T12:18:00Z,4434.49,4434.78,4434.22,4434.77,0.9952
2026-09-06T12:19:00Z,4434.77,4434.77,4434.19,4434.52,0.8802
2026-09-06T12:20:00Z,4434.52,4434.52,4433.82,4434.35,3.0077
2026-09-06T12:21:00Z,4434.35,4434.48,4434.05,4434.09,1.0848
2026-09-06T12:22:00Z,4434.09,4434.43,4433.43,4433.84,3.2407999999999997
2026-09-06T12:23:00Z,4433.84,4433.94,4433.07,4433.38,2.0848
2026-09-06T12:24:00Z,4433.38,4433.76,4433.38,4433.76,1.432
2026-09-06T12:25:00Z,4433.76,4433.76,4433.25,4433.47,2.4351
2026-09-06T12:26:00Z,4433.47,4434.06,4433.27,4434.06,1.0396
2026-09-06T12:27:00Z,4434.06,4434.08,4433.48,4433.63,2.491
2026-09-06T12:28:00Z,4433.63,4434.2,4433.52,4433.67,1.9613999999999998
2026-09-06T12:29:00Z,4433.67,4434.01,4433.31,4433.77,1.0396
2026-09-06T12:30:00Z,4433.77,4433.89,4433.6,4433.6,1.0622
2026-09-06T12:31:00Z,4433.6,4434.18,4433.26,4433.78,2.5392
2026-09-06T12:32:00Z,4433.78,4434.11,4433.32,4433.66,0.904
2026-09-06T12:33:00Z,4433.66,4434.29,4433.66,4434.25,1.7998
2026-09-06T12:34:00Z,4434.25,4434.37,4433.92,4434.31,1.1526
2026-09-06T12:35:00Z,4434.31,4434.33,4434,4434.04,1.0622
2026-09-06T12:36:00Z,4434.04,4434.27,4433.44,4433.76,2.0396
2026-09-06T12:37:00Z,4433.76,4434.07,4433.52,4433.92,0.9944
2026-09-06T12:38:00Z,4433.92,4433.92,4433.41,4433.48,0.904
2026-09-06T12:39:00Z,4433.48,4433.5,4432.73,4433.29,3.4771
2026-09-06T12:40:00Z,4433.29,4433.76,4432.98,4433.27,2.9386
2026-09-06T12:41:00Z,4433.27,4433.55,4432.88,4433.39,2.3933
2026-09-06T12:42:00Z,4433.39,4433.39,4432.72,4433.06,1.0622
2026-09-06T12:43:00Z,4433.06,4433.06,4432.73,4432.76,0.9946
2026-09-06T12:44:00Z,4432.76,4432.88,4432.22,4432.65,0.9494
2026-09-06T12:45:00Z,4432.65,4433.22,4432.22,4433.21,1.4848
2026-09-06T12:46:00Z,4433.21,4433.21,4432.66,4432.78,2.0396
2026-09-06T12:47:00Z,4432.78,4433.4,4432.78,4433.39,0.8814
2026-09-06T12:48:00Z,4433.39,4433.41,4432.84,4433.26,1.0396
2026-09-06T12:49:00Z,4433.26,4433.75,4432.81,4433.38,6.005999999999999
2026-09-06T12:50:00Z,4433.38,4433.68,4433.19,4433.55,1.0622
2026-09-06T12:51:00Z,4433.55,4433.68,4433.2,4433.67,0.7232
2026-09-06T12:52:00Z,4433.67,4433.68,4433.23,4433.36,1.1526
2026-09-06T12:53:00Z,4433.36,4433.57,4432.95,4433.17,2.0622
2026-09-06T12:54:00Z,4433.17,4433.45,4432.85,4433.39,1.0557
2026-09-06T12:55:00Z,4433.39,4433.39,4432.73,4433.22,2.5488
2026-09-06T12:56:00Z,4433.22,4433.22,4432.63,4432.63,0.9492
2026-09-06T12:57:00Z,4432.63,4433.03,4432.57,4432.92,1.3076
2026-09-06T12:58:00Z,4432.92,4433.07,4432.46,4432.61,1.1718
2026-09-06T12:59:00Z,4432.61,4432.62,4431.41,4432.22,0.972
2026-09-06T13:00:00Z,4432.22,4432.22,4431.09,4431.19,2.0848
